game_id,date,opponent,is_home,leafs_score,opponent_score,result,total_goals,rest_days,opp_win_pct,opp_goals_per_game,opp_goals_against_per_game,opp_points,opp_l10_wins,leafs_standing_points,leafs_pp_pct,leafs_pk_pct,leafs_corsi_pct,leafs_fenwick_pct,leafs_pdo,leafs_shots_pg,leafs_shots_against_pg,leafs_faceoff_pct,leafs_save_pct,leafs_shooting_pct,leafs_zone_start_pct,opp_pp_pct,opp_pk_pct,opp_corsi_pct,opp_pdo,opp_save_pct
2017020311,2017-11-20,ARI,1,1,4,L,5,2,0.1,2.3,3.95,7,2,24,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1687,0.8,0.4809,0.995,0.9218
2017020321,2017-11-22,FLA,0,1,2,L,3,2,0.353,3.35,3.82,14,3,24,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1888,0.8018,0.4918,1.0,0.9236
2017020343,2017-11-24,CAR,0,5,4,W,9,2,0.438,2.88,2.75,18,4,24,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1841,0.7749,0.5448,0.9791,0.9088
2017020348,2017-11-25,WSH,1,2,4,L,6,1,0.526,2.95,3.11,21,6,24,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2414,0.7936,0.4817,1.0174,0.9261
2017020374,2017-11-28,CGY,0,4,1,W,5,3,0.56,2.92,3.04,29,6,35,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1599,0.8178,0.535,0.987,0.9185
2017020387,2017-11-30,EDM,0,6,4,W,10,2,0.385,2.73,3.35,22,4,35,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1476,0.7673,0.5059,0.9927,0.9179
2017020402,2017-12-02,VAN,0,1,2,L,3,2,0.462,2.81,2.92,28,4,35,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2146,0.7826,0.4771,0.9933,0.9216
2017020426,2017-12-06,CGY,1,2,1,W,3,4,0.56,2.92,3.04,29,6,35,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1599,0.8178,0.535,0.987,0.9185
2017020450,2017-12-09,PIT,0,4,3,W,7,3,0.519,2.89,3.33,31,5,35,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2566,0.804,0.5208,0.9861,0.9104
2017020456,2017-12-10,EDM,1,1,0,W,1,1,0.385,2.73,3.35,22,4,35,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1476,0.7673,0.5059,0.9927,0.9179
